Valeurs lues      : 67584
Timestamps lus    : 68096
Date: 2026-05-04 14:37:41 | Valeur: -10221
Date: 2026-05-04 14:37:41 | Valeur: -13160
Date: 2026-05-04 14:37:41 | Valeur: -13392
Date: 2026-05-04 14:37:41 | Valeur: -11720
Date: 2026-05-04 14:37:41 | Valeur: -14343
Date: 2026-05-04 14:37:41 | Valeur: -16297
Date: 2026-05-04 14:37:41 | Valeur: -12559
Date: 2026-05-04 14:37:41 | Valeur: -10868
Date: 2026-05-04 14:37:41 | Valeur: -12590
Date: 2026-05-04 14:37:41 | Valeur: -13860
Date: 2026-05-04 14:37:41 | Valeur: -12752
Date: 2026-05-04 14:37:41 | Valeur: -15806
Date: 2026-05-04 14:37:41 | Valeur: -13593
Date: 2026-05-04 14:37:41 | Valeur: -13483
Date: 2026-05-04 14:37:41 | Valeur: -12521
Date: 2026-05-04 14:37:41 | Valeur: -15440
Date: 2026-05-04 14:37:41 | Valeur: -12848
Date: 2026-05-04 14:37:41 | Valeur: -11850
Date: 2026-05-04 14:37:41 | Valeur: -11713
Date: 2026-05-04 14:37:41 | Valeur: -13060
Date: 2026-05-04 14:37:41 | Valeur: -12343
Date: 2026-05-04 14:37:41 | Valeur: -13407
Date: 2026-05-04 14:37:41 | Valeur: -13712
Date: 2026-05-04 14:37:41 | Valeur: -14369
Date: 2026-05-04 14:37:41 | Valeur: -10480
Date: 2026-05-04 14:37:41 | Valeur: -12832
Date: 2026-05-04 14:37:41 | Valeur: -12933
Date: 2026-05-04 14:37:41 | Valeur: -15982
Date: 2026-05-04 14:37:41 | Valeur: -16068
Date: 2026-05-04 14:37:41 | Valeur: -14772
Date: 2026-05-04 14:37:41 | Valeur: -13898
Date: 2026-05-04 14:37:41 | Valeur: -11717
Date: 2026-05-04 14:37:41 | Valeur: -11678
Date: 2026-05-04 14:37:41 | Valeur: -13496
Date: 2026-05-04 14:37:41 | Valeur: -12837
Date: 2026-05-04 14:37:41 | Valeur: -15451
Date: 2026-05-04 14:37:41 | Valeur: -13860
Date: 2026-05-04 14:37:41 | Valeur: -12471
Date: 2026-05-04 14:37:41 | Valeur: -12913
Date: 2026-05-04 14:37:41 | Valeur: -13046
Date: 2026-05-04 14:37:41 | Valeur: -12426
Date: 2026-05-04 14:37:41 | Valeur: -14625
Date: 2026-05-04 14:37:41 | Valeur: -14590
Date: 2026-05-04 14:37:41 | Valeur: -12900
Date: 2026-05-04 14:37:41 | Valeur: -14139
Date: 2026-05-04 14:37:41 | Valeur: -14510
Date: 2026-05-04 14:37:41 | Valeur: -12543
Date: 2026-05-04 14:37:41 | Valeur: -14047
Date: 2026-05-04 14:37:41 | Valeur: -12288
Date: 2026-05-04 14:37:41 | Valeur: -12330
Date: 2026-05-04 14:37:41 | Valeur: -11988
Date: 2026-05-04 14:37:41 | Valeur: -12353
Date: 2026-05-04 14:37:41 | Valeur: -12151
Date: 2026-05-04 14:37:41 | Valeur: -13902
Date: 2026-05-04 14:37:41 | Valeur: -13429
Date: 2026-05-04 14:37:41 | Valeur: -12452
Date: 2026-05-04 14:37:41 | Valeur: -15447
Date: 2026-05-04 14:37:41 | Valeur: -9746
Date: 2026-05-04 14:37:41 | Valeur: -10649
Date: 2026-05-04 14:37:41 | Valeur: -11549
Date: 2026-05-04 14:37:41 | Valeur: -10885
Date: 2026-05-04 14:37:41 | Valeur: -11979
Date: 2026-05-04 14:37:41 | Valeur: -15069
Date: 2026-05-04 14:37:41 | Valeur: -13995
Date: 2026-05-04 14:37:41 | Valeur: -11635
Date: 2026-05-04 14:37:41 | Valeur: -15855
Date: 2026-05-04 14:37:41 | Valeur: -14567
Date: 2026-05-04 14:37:41 | Valeur: -12649
Date: 2026-05-04 14:37:41 | Valeur: -12116
Date: 2026-05-04 14:37:41 | Valeur: -12969
Date: 2026-05-04 14:37:41 | Valeur: -12115
Date: 2026-05-04 14:37:41 | Valeur: -15712
Date: 2026-05-04 14:37:41 | Valeur: -13126
Date: 2026-05-04 14:37:41 | Valeur: -12749
Date: 2026-05-04 14:37:41 | Valeur: -12075
Date: 2026-05-04 14:37:41 | Valeur: -14811
Date: 2026-05-04 14:37:41 | Valeur: -13740
Date: 2026-05-04 14:37:41 | Valeur: -14604
Date: 2026-05-04 14:37:41 | Valeur: -16355
Date: 2026-05-04 14:37:41 | Valeur: -13950
Date: 2026-05-04 14:37:41 | Valeur: -14042
Date: 2026-05-04 14:37:41 | Valeur: -12612
Date: 2026-05-04 14:37:41 | Valeur: -12664
Date: 2026-05-04 14:37:41 | Valeur: -14681
Date: 2026-05-04 14:37:41 | Valeur: -12802
Date: 2026-05-04 14:37:41 | Valeur: -12754
Date: 2026-05-04 14:37:41 | Valeur: -14426
Date: 2026-05-04 14:37:41 | Valeur: -11813
Date: 2026-05-04 14:37:41 | Valeur: -14032
Date: 2026-05-04 14:37:41 | Valeur: -14252
Date: 2026-05-04 14:37:41 | Valeur: -12975
Date: 2026-05-04 14:37:41 | Valeur: -12348
Date: 2026-05-04 14:37:41 | Valeur: -12813
Date: 2026-05-04 14:37:41 | Valeur: -12364
Date: 2026-05-04 14:37:41 | Valeur: -12392
Date: 2026-05-04 14:37:41 | Valeur: -11018
Date: 2026-05-04 14:37:41 | Valeur: -16395
Date: 2026-05-04 14:37:41 | Valeur: -13391
Date: 2026-05-04 14:37:41 | Valeur: -11545
Date: 2026-05-04 14:37:41 | Valeur: -13031
Date: 2026-05-04 14:37:41 | Valeur: -10007
Date: 2026-05-04 14:37:41 | Valeur: -13218
Date: 2026-05-04 14:37:41 | Valeur: -12419
Date: 2026-05-04 14:37:41 | Valeur: -14512
Date: 2026-05-04 14:37:41 | Valeur: -14712
Date: 2026-05-04 14:37:41 | Valeur: -12234
Date: 2026-05-04 14:37:41 | Valeur: -13961
Date: 2026-05-04 14:37:41 | Valeur: -13254
